Record_ID,Date,Factory_Location,Vehicle_Model,Vehicles_Produced,Vehicles_Delivered,Battery_Output_GWh,Autopilot_Active_Vehicles_Thousands,Charging_Stations_Installed,Energy_Storage_Deployed_MWh,Software_Update_Releases,Manufacturing_Automation_Index,Factory_Efficiency_Index,EV_Revenue_MillionUSD,Energy_Business_Revenue_MillionUSD,Operating_Margin_Percent
54,2020-02-24,Berlin,Model X,2745,1719,57.77,1284,13,897,3,64.76,94.47,796.12,3629.85,27.22
55,2020-02-25,Texas,Model 3,2834,7493,15.23,411,93,315,6,81.86,86.43,4079.37,1349.11,22.78
56,2020-02-26,Fremont,Cybertruck,2052,3413,9.53,653,84,616,3,84.94,68.24,3579.58,3751.49,6.79
57,2020-02-27,Berlin,Model Y,2843,7503,26.3,946,23,234,4,81.24,80.69,8207.2,1192.89,24.87
58,2020-02-28,Fremont,Model S,7170,2382,13.77,1250,74,794,0,86.89,66.31,918.71,1495.65,22.1
59,2020-02-29,Fremont,Model Y,8070,5820,70.63,378,70,644,3,78.18,82.37,8427.34,1481.86,5.39
60,2020-03-01,Texas,Model X,7840,1199,34.04,601,57,673,0,67.28,92.65,3783.31,2898.21,16.45
61,2020-03-02,Shanghai,Cybertruck,6338,7928,36.12,1230,51,497,3,72.51,77.01,8495.7,2386.39,18.6
62,2020-03-03,Shanghai,Cybertruck,798,5416,66.42,597,29,247,0,80.23,80.79,2807.17,1941.94,9.13
63,2020-03-04,Texas,Model Y,8742,7659,74.69,626,95,276,1,71.41,65.53,11574,1812.15,25.81
64,2020-03-05,Fremont,Model Y,6108,8462,70.54,1379,71,831,3,62.07,81.83,6788.49,107.36,27.29
65,2020-03-06,Texas,Model X,2612,7523,14.3,935,57,260,6,83.54,77.62,9196.13,3888.79,29.05
66,2020-03-07,Shanghai,Model 3,925,6054,8.83,666,94,404,5,64.78,70.83,3516.28,2789.84,7.71
67,2020-03-08,Shanghai,Model X,2941,1353,61.38,879,53,370,6,63.75,83.57,11268.72,2239.46,8.63
68,2020-03-09,Shanghai,Model 3,3349,3878,10.28,1361,92,475,3,82.35,65.91,8703.98,3062.24,28.72
69,2020-03-10,Berlin,Model 3,2999,3215,24.63,1001,81,39,4,89.59,87.77,9400.6,2283.38,9.98
70,2020-03-11,Shanghai,Model 3,8366,8267,28.76,1441,81,729,6,93.36,67.44,4415.84,3959.54,28.34
71,2020-03-12,Fremont,Cybertruck,3377,6744,12.55,128,54,585,2,67.09,88.2,4397.34,392.22,26.56
72,2020-03-13,Fremont,Cybertruck,8355,4106,49.97,136,47,725,1,61.72,96.39,3165.46,196.19,5.65
73,2020-03-14,Fremont,Model S,5864,3979,50.53,1130,4,418,2,65.65,80.26,11925.39,2018.09,14.54
74,2020-03-15,Shanghai,Model X,2451,6311,61.72,936,91,473,1,90.85,67.62,10229.32,1971.92,24.36
75,2020-03-16,Texas,Model S,2423,6819,59.39,309,36,96,0,93.33,93.24,6363.98,1709.35,6.2
76,2020-03-17,Fremont,Model 3,4712,3736,45.4,731,67,68,5,64.41,86.71,4068.21,3617.94,22.52
77,2020-03-18,Texas,Model Y,8385,7535,78.35,402,6,393,5,89.31,71.63,6452.44,615.44,16.95
78,2020-03-19,Fremont,Model X,6651,7858,12.52,1024,107,398,2,69.73,72.09,653.78,1260.74,28.39
79,2020-03-20,Shanghai,Cybertruck,5038,4478,72.11,98,9,118,5,88.51,88.55,4448.69,2128.2,5.56
80,2020-03-21,Fremont,Model X,6001,4073,46.22,173,25,208,2,65.67,66.01,11740.4,3566.35,12.49
81,2020-03-22,Berlin,Cybertruck,6759,8147,25,95,78,274,0,71.97,71.33,10236.31,2776.01,12.32
82,2020-03-23,Shanghai,Cybertruck,8993,3844,58.52,721,23,416,3,96.44,71.99,10954.64,1312.55,23.92
83,2020-03-24,Fremont,Cybertruck,6950,674,10.45,1047,39,179,6,81.35,66.77,11946,2153.81,19.49
84,2020-03-25,Texas,Model S,935,4014,12.18,941,74,710,0,95.84,66.58,3504.39,3469.54,11.2
85,2020-03-26,Berlin,Model X,5760,480,38.75,495,95,172,4,90.49,82.73,10429.5,2067.78,27.58
86,2020-03-27,Fremont,Model Y,4006,1417,14.71,658,30,597,6,90.64,94.51,6328.83,3243.43,6.05
87,2020-03-28,Fremont,Model X,1516,2577,7.45,1030,28,109,0,62.56,68.2,6831.53,1317.27,9.11
88,2020-03-29,Texas,Cybertruck,1265,1021,19.99,473,80,202,1,94.41,90.28,2776.09,447.22,6.17
89,2020-03-30,Texas,Model X,2360,6944,12.24,1373,17,542,2,95.32,88.19,6746.05,3627.38,11.28
90,2020-03-31,Fremont,Model S,6353,1424,51.86,1287,110,148,0,97.61,84.73,9917.35,3483.06,16.75
91,2020-04-01,Shanghai,Model X,2377,2112,60.14,73,38,532,6,72.44,92.02,8972.92,1462.23,23.09
92,2020-04-02,Shanghai,Model X,8162,963,40.38,858,94,775,0,63.6,98.05,4832.93,357.73,12.29
93,2020-04-03,Texas,Cybertruck,7207,5201,78.53,737,96,654,4,88.1,74.74,526.78,2407.71,23.51
94,2020-04-04,Texas,Model Y,6002,8172,8.03,827,21,373,2,73.06,77,3151.82,760.72,18.54
95,2020-04-05,Fremont,Cybertruck,6958,2502,19.91,1011,71,572,5,90.86,89.29,2510.87,466.2,19.67
96,2020-04-06,Fremont,Model X,6395,2823,72.53,1293,90,183,6,60.48,82.34,6854.93,1150.41,22.32
97,2020-04-07,Texas,Model X,5538,5034,67.23,695,78,555,2,64.7,81.27,10687.77,1689.95,6.15
98,2020-04-08,Texas,Cybertruck,1444,7104,75.72,819,86,457,3,84.81,95.12,971.41,1611.71,19.76
99,2020-04-09,Texas,Cybertruck,688,3485,32.48,379,62,867,2,68.55,72.33,9392.05,1331.56,19.41
100,2020-04-10,Fremont,Model Y,6884,6581,58.1,1336,74,851,3,97.48,85.41,4826.01,455.63,27.05
101,2020-04-11,Fremont,Model S,8178,964,14.38,68,49,396,5,92.31,81.53,6273.46,1960.15,22.85
102,2020-04-12,Texas,Model X,5208,5887,46.34,1447,82,810,0,71.8,95.81,7335,3841.13,12.04
103,2020-04-13,Fremont,Model X,1725,6507,60.46,309,43,896,3,96.66,68.56,1058.78,2424.33,12.2
104,2020-04-14,Shanghai,Model Y,1851,4377,61.33,1429,106,894,6,69.87,84.04,2488.81,1684.22,21.38
105,2020-04-15,Shanghai,Model S,7936,6097,30.37,1354,76,709,5,95.27,96.28,6658.64,3287.86,5.33
106,2020-04-16,Texas,Model S,726,3129,7.69,1332,24,722,3,83.47,71.96,1526,822.79,25.87
107,2020-04-17,Berlin,Model X,7926,551,73.49,836,108,374,6,61.77,84.14,8978.2,3437.95,5.16
108,2020-04-18,Berlin,Cybertruck,6089,2945,41.85,403,84,686,3,71.86,86.78,8238.65,2271.21,27.69
109,2020-04-19,Fremont,Model 3,4135,3601,11.97,1380,92,856,4,66.61,67.69,7296.75,1991.78,26.69
110,2020-04-20,Berlin,Model 3,2187,6658,35.5,1303,36,543,1,67.91,82.94,2275.46,3145.8,10.54
111,2020-04-21,Shanghai,Model Y,4161,5426,14.83,844,112,317,4,68.16,96.15,7516.75,3678.89,12.77
112,2020-04-22,Shanghai,Model X,8799,4156,58.06,1437,3,130,2,60.06,80.76,6931.21,1859.57,17.81
113,2020-04-23,Fremont,Cybertruck,7716,6825,10.56,1472,105,132,3,91.23,81.5,6997.98,1302.14,14.71
114,2020-04-24,Texas,Model S,868,4288,10.6,668,53,111,3,89.57,70.27,9923.53,2513.08,18.82
115,2020-04-25,Texas,Model Y,4740,5160,13.44,1454,23,401,5,61.97,75.15,3312.1,805.76,13.6
116,2020-04-26,Berlin,Model X,8214,533,68.47,349,66,567,3,93.7,95.42,6393.02,112.47,7.48
117,2020-04-27,Berlin,Model Y,7521,1747,52.17,556,69,125,4,68.53,85.44,4613.42,3298.3,25.56
118,2020-04-28,Fremont,Model S,8969,3305,45.55,1324,39,320,4,97,85.69,3189.14,1453.06,14.76
119,2020-04-29,Shanghai,Cybertruck,6083,2776,6.85,1015,70,162,6,74.83,95.65,11502.01,3641.74,28.82
120,2020-04-30,Berlin,Model 3,7743,2274,52.42,461,29,292,3,83.81,69.89,4768.05,3406.8,5.91
121,2020-05-01,Shanghai,Model S,2578,419,44.85,762,52,548,0,96.12,82.87,2861.12,2013.55,7.75
122,2020-05-02,Berlin,Model X,5310,2730,50.65,396,88,875,4,73.66,74.7,1058.09,3348.81,23.06
123,2020-05-03,Fremont,Model X,8141,1393,39.97,1126,110,410,0,73.63,96.85,8683.74,3180.03,11.36
124,2020-05-04,Berlin,Model X,905,6686,68.19,937,7,271,1,87.66,81.17,2184.37,3103.09,27.25
125,2020-05-05,Fremont,Model Y,1951,4282,60.47,289,76,204,0,95.73,84.57,604.06,3141.02,13.79
126,2020-05-06,Shanghai,Model X,6930,7786,37.51,472,37,890,4,86.43,85.47,9206.25,292.1,5.47
127,2020-05-07,Texas,Model Y,5256,6064,71.38,178,51,689,4,86.55,92.79,11458.67,1707.53,18.44
128,2020-05-08,Texas,Model Y,7977,2474,50.54,1422,78,857,3,94.93,91.12,11448.52,2734.24,16.83
129,2020-05-09,Fremont,Model X,3628,3624,76.21,976,31,451,1,67.37,73.06,3794,3998.49,19.07
130,2020-05-10,Fremont,Cybertruck,1700,2819,59.56,1168,83,626,3,74.19,82.87,6081.76,465.32,24.06
131,2020-05-11,Fremont,Model S,871,1431,38.19,696,40,111,6,88.85,94.88,11903.63,947.84,18.36
132,2020-05-12,Berlin,Cybertruck,4700,8053,67.31,1450,55,673,2,97.55,82.59,4662.78,1381.21,12.16
133,2020-05-13,Fremont,Cybertruck,5625,3138,9.9,1382,47,736,0,77.63,69.53,1423.87,888.77,28.15
134,2020-05-14,Fremont,Cybertruck,1488,6276,38.51,244,32,115,1,60.42,84.37,5402.76,745.68,29.63
135,2020-05-15,Texas,Model 3,830,1362,64.94,321,2,149,4,91,77.14,1806.25,2752.18,5.06
136,2020-05-16,Berlin,Cybertruck,6740,5178,38.79,472,109,494,6,71.2,69.84,5078.22,2883.69,10.7
137,2020-05-17,Berlin,Model S,2833,5929,73.34,901,90,98,1,79.18,72.9,1257.41,2656.28,20.73
138,2020-05-18,Berlin,Model S,6330,3287,35.75,637,93,740,5,94.38,84.24,10938.79,2120.02,25.84
139,2020-05-19,Berlin,Model X,6433,3424,30.04,814,46,213,4,75.33,94.08,10858.29,1869.99,9.04
140,2020-05-20,Shanghai,Model 3,6861,2828,11.08,1423,10,534,6,67.16,96.6,10147.37,1809.73,22.2
141,2020-05-21,Fremont,Model 3,5821,1998,49.02,1377,56,577,5,87.61,96.7,9644.28,2647.78,24.48
142,2020-05-22,Fremont,Cybertruck,5782,7844,19.23,950,101,461,1,65.14,70.93,6746.34,3648.93,20.92
143,2020-05-23,Berlin,Model S,8290,900,70.68,103,16,397,2,79.52,81.28,4956.16,1454.14,6.11
144,2020-05-24,Shanghai,Model X,8750,7462,50.9,1061,62,313,6,85.76,87.6,3774.48,939.58,23.35
145,2020-05-25,Berlin,Model Y,1411,2179,11.83,1129,13,245,0,83.35,95.09,6831.02,3895.61,23.51
146,2020-05-26,Fremont,Model X,3994,451,54.79,1247,112,79,1,86.02,83.01,5118.13,743.87,17.9
147,2020-05-27,Texas,Model S,4676,3411,22.15,1281,7,378,6,94.07,87.76,9358.92,2758.13,11.89
148,2020-05-28,Berlin,Model Y,1811,4399,78.62,1449,67,174,3,85.11,85.77,937.15,1616.46,25.69
149,2020-05-29,Texas,Model 3,7486,6392,59.8,997,20,875,6,96.95,81.28,5761.87,3904.81,11.87
150,2020-05-30,Shanghai,Model 3,8214,1561,34.77,80,104,125,2,83.61,82.38,6986.35,111.79,5.15
151,2020-05-31,Fremont,Model 3,7260,7226,30.06,1156,68,205,5,85.62,85.16,8327.87,2352.38,21.13
152,2020-06-01,Shanghai,Model S,5868,3984,58.59,999,9,227,6,86.68,87.61,11348.4,1383.23,26.02
153,2020-06-02,Fremont,Model Y,1020,2059,75.38,96,85,869,6,83.9,74.51,6794.84,927.13,6.12
154,2020-06-03,Shanghai,Model S,5939,1558,53.88,369,50,215,2,75.13,93.1,10476.29,3957.83,9.8
155,2020-06-04,Texas,Model Y,2331,903,70.76,1288,98,365,5,62.97,67.55,10974.62,1190.96,29.34
156,2020-06-05,Shanghai,Model X,4359,6822,61.91,320,58,344,5,73.88,80.46,5088.69,1812.86,22.63
157,2020-06-06,Shanghai,Model Y,8411,7860,72.45,156,111,418,5,75.03,68.42,7657.7,2904.66,19.3
158,2020-06-07,Texas,Cybertruck,4784,2005,21.36,789,33,375,4,86.35,93.37,8331.88,2489.05,13.14
159,2020-06-08,Texas,Cybertruck,7464,3200,52.92,194,38,588,2,86.76,89.33,11327.24,3060.89,5.95
160,2020-06-09,Fremont,Model S,4824,3928,70.27,676,48,488,3,62.94,91.57,7983.11,960.01,17.53
161,2020-06-10,Fremont,Cybertruck,4388,2746,67.28,1139,38,575,3,74.76,98.37,7842.55,2808.73,24.45
162,2020-06-11,Fremont,Model X,574,2071,39.05,1155,43,760,6,80.85,81.47,9138.17,3646.5,11.66
163,2020-06-12,Berlin,Model X,3957,1226,8.98,917,56,430,1,71.58,91.04,2119.84,1899.69,6.69
164,2020-06-13,Texas,Model Y,3463,627,62.26,186,73,733,1,97.96,87.85,6217.21,3076.07,12.66
165,2020-06-14,Shanghai,Model 3,5200,7474,18.16,94,11,834,5,97.76,75.37,6642.94,1686.92,29.82
166,2020-06-15,Shanghai,Model 3,2756,4840,33.45,747,17,50,6,71.71,68.94,10441.89,3132.13,27.21
167,2020-06-16,Texas,Model Y,5951,810,23.73,67,114,896,2,84.68,68.99,11290.27,1340.87,19.76
168,2020-06-17,Texas,Model Y,3029,7411,33.08,162,19,749,6,94.44,85.04,7514.03,3867.79,20.43
169,2020-06-18,Shanghai,Model 3,3268,706,26.43,281,37,359,4,63.71,69.68,5659.48,1127.04,20.75
170,2020-06-19,Texas,Model X,2574,7074,28.17,478,54,889,0,95.95,85.84,5492.56,2178.07,26.94
171,2020-06-20,Fremont,Model Y,7564,4517,68.83,223,32,37,5,82.22,82.81,5587.23,3844.74,15.37
172,2020-06-21,Shanghai,Model Y,2626,8030,73.97,178,25,41,0,90.51,97.65,2540.78,1940.69,10.89
173,2020-06-22,Berlin,Model 3,5244,5559,17.5,388,8,446,1,93.78,75.84,9334.53,784.18,23.77
174,2020-06-23,Fremont,Cybertruck,3515,1443,39.32,1483,8,608,5,60.88,75.76,4382.45,1141.11,21.68
175,2020-06-24,Fremont,Model X,2303,1937,57.65,1202,67,241,3,71.71,80.51,11421.78,1382.66,23.25
176,2020-06-25,Berlin,Model 3,1497,2161,21.17,1298,75,444,6,76.55,65.57,11951.01,2000.2,15
177,2020-06-26,Shanghai,Model X,6254,3939,75.13,1104,2,148,0,72.29,92.07,10197.33,3846.79,6.53
178,2020-06-27,Berlin,Cybertruck,3030,6380,40.75,1309,32,702,5,93.16,87.71,2856.74,3055.99,26.14
179,2020-06-28,Shanghai,Model X,4835,4738,41.41,229,105,88,0,75.5,81.65,8546.4,1639.74,9.2
180,2020-06-29,Berlin,Model 3,3529,3477,29.15,595,90,766,5,68,97.29,5296.98,1296.39,26.51
181,2020-06-30,Shanghai,Model X,3324,5003,64.65,403,93,192,0,67.04,70.81,1253.45,616.19,17.66
182,2020-07-01,Texas,Model Y,965,1051,21.63,1046,33,470,4,69.37,74.01,10218.53,778.28,22.29
183,2020-07-02,Shanghai,Model X,7022,1915,75.59,1310,99,771,3,78.51,71.5,8803.73,1851.35,12.29
184,2020-07-03,Shanghai,Cybertruck,6451,419,36.16,928,2,852,3,90.64,94.64,6939.4,3306.2,13.26
185,2020-07-04,Shanghai,Model 3,2912,3970,31.78,1453,58,508,3,96.5,65.31,11643.36,2313.32,28.37
186,2020-07-05,Berlin,Cybertruck,7744,8276,19.85,456,39,625,1,82.77,89.42,11127.42,2495.23,12.43
187,2020-07-06,Berlin,Model 3,8627,642,16.8,922,65,420,6,84.8,76.64,6145.46,2497.39,7.4
188,2020-07-07,Berlin,Model S,6722,941,26.72,162,33,380,0,94.34,82.66,2320.29,1877.28,12.36
189,2020-07-08,Shanghai,Model S,6806,1323,72.16,361,106,719,2,89.88,70.07,1127.57,1316.64,14.83
190,2020-07-09,Berlin,Cybertruck,5241,3405,79.42,680,55,228,6,77.86,97.76,1434.92,1994.67,14.61
191,2020-07-10,Texas,Cybertruck,8618,7333,7.43,981,102,69,6,78.67,72.79,9061.23,1006.28,15.72
192,2020-07-11,Texas,Model 3,7977,2531,71.99,1063,54,543,2,90.09,74.97,11773.16,2616.25,26.8
193,2020-07-12,Fremont,Model 3,989,4946,33.79,467,103,848,4,69.05,73.34,4231.3,2685.81,24.95
194,2020-07-13,Berlin,Model S,3859,894,19.21,525,58,882,1,93.48,81.6,8857.87,3691.72,5.76
195,2020-07-14,Fremont,Model 3,6909,8327,21.84,1349,2,17,0,85.59,67.92,6047.37,2284.18,17.27
196,2020-07-15,Fremont,Cybertruck,859,6580,52.24,164,15,311,1,70.44,96.39,3354.63,1741.68,11.6
197,2020-07-16,Fremont,Cybertruck,8369,2550,29.29,295,65,381,3,83.84,86.67,10361.27,590.89,25.22
198,2020-07-17,Berlin,Model Y,4915,6311,63.75,1079,34,92,1,67.67,65.58,10653.18,2968.13,9.18
199,2020-07-18,Fremont,Model X,685,5915,59.35,206,82,293,1,65.15,79.41,11292.33,1568.93,24.58
200,2020-07-19,Shanghai,Model Y,5085,6820,23.46,285,48,261,3,85.18,95.85,2492.57,393.24,24.36
201,2020-07-20,Shanghai,Model S,8781,5672,18.32,656,102,537,0,95.99,74.49,3021.93,2978.4,20.17
202,2020-07-21,Texas,Cybertruck,5300,5872,32.76,1262,65,278,2,65.18,95.37,3596.19,650.65,27.24
203,2020-07-22,Berlin,Cybertruck,2366,6084,24.69,276,14,500,5,93.82,75.8,7724.54,985.63,17.94
204,2020-07-23,Texas,Model X,7181,7458,34.87,923,113,688,3,66.59,72.03,4489.89,3656.09,12.49
205,2020-07-24,Shanghai,Model S,8451,7552,53.76,1036,55,227,2,60.35,69.4,5626.11,2034.18,20.79
206,2020-07-25,Shanghai,Model S,7792,2743,31.14,476,103,110,2,73.55,71.23,8922.95,445.57,18.43
207,2020-07-26,Fremont,Model X,3897,1832,8.94,1228,120,399,4,77.82,75.54,5248.24,2443.19,14.83
208,2020-07-27,Fremont,Model S,4220,2007,56.82,783,57,466,2,62.28,88.14,5062.5,3599.36,19.39
209,2020-07-28,Texas,Cybertruck,4421,5109,59.42,411,101,415,4,89.31,98.92,8017.55,888.5,11.24
210,2020-07-29,Fremont,Model S,8031,7701,73.22,550,10,678,1,79.31,80.94,10023.38,3785.94,24.34
211,2020-07-30,Texas,Cybertruck,4551,3306,8.68,358,80,878,4,77.77,79.59,1501.42,1203.72,11.4
212,2020-07-31,Berlin,Model X,6399,579,56.46,869,16,494,0,73.8,92.42,7698.65,2950.93,26.45
213,2020-08-01,Fremont,Model Y,8750,5731,17.37,1500,49,478,0,62.08,78,2175.76,3936.48,29.49
214,2020-08-02,Berlin,Model Y,1373,1186,67.74,80,73,748,5,76.49,97.85,5683.05,2750.75,17.82
215,2020-08-03,Berlin,Model 3,2806,2736,17.65,417,45,237,2,79.35,79.36,8862.55,2585.95,18.77
216,2020-08-04,Fremont,Cybertruck,8426,3284,9.1,286,81,418,3,77.44,92.1,8049.12,1480.87,27.31
217,2020-08-05,Shanghai,Model 3,4767,8312,63.82,717,120,227,4,93.85,97.5,2814.38,945.08,29.15
218,2020-08-06,Fremont,Model 3,2394,5635,49.72,1277,70,653,0,89.98,83.38,2061.26,3867.44,14.23
219,2020-08-07,Fremont,Model Y,1171,4057,62.94,891,33,499,0,77.02,72.99,11001.78,1645.3,17.54
220,2020-08-08,Fremont,Model X,1904,3782,27.05,1270,86,155,0,64.54,74.39,8288.1,3207.56,21.89
221,2020-08-09,Fremont,Model S,4920,7698,25.41,830,89,567,1,79.99,89.3,1116.53,3602.85,19.27
222,2020-08-10,Shanghai,Model 3,5488,1495,40.76,93,47,58,4,61.64,83.18,5535.2,1882.62,10.08
223,2020-08-11,Berlin,Model Y,2955,4415,29.93,378,33,685,1,62.79,90.61,5142.38,663.17,11.52
224,2020-08-12,Fremont,Model X,3730,5552,67.91,802,13,109,5,66.25,82.07,5755.91,372.22,22.91
225,2020-08-13,Shanghai,Model X,4088,2822,79.25,893,58,469,6,88.97,94.12,8377.9,347.06,25.82
226,2020-08-14,Berlin,Model 3,2019,5583,10.47,1408,45,785,0,78.11,90.34,967.6,2388.58,11.3
227,2020-08-15,Texas,Model X,2617,1977,73.72,1291,49,253,0,84.9,80.29,3036.82,1066.28,18.45
228,2020-08-16,Shanghai,Model X,842,4255,29.74,842,15,879,1,95.74,88.12,9989.96,1941.4,26.35
229,2020-08-17,Shanghai,Model 3,7132,826,9,620,18,592,1,80.49,67.88,7316.01,2358.03,21.15
230,2020-08-18,Texas,Model X,3169,5508,76.04,1234,56,611,3,63.15,86.74,11667,3679.61,22.6
231,2020-08-19,Fremont,Model 3,7759,508,19.63,465,109,793,3,68.3,71.89,4171.38,2893.81,28.66
